Error186.75694180523675 a = 1.9596, Multipliers,,68.32091088,23.50913361,0.61354226,0.591997894,0.870195631,25.49947896,43.81403432
,Coordinates,,-2.955974413,-2.298684697,-0.878498413,0.317731476,1.293318314,2.396000861,3.157130454
Multipliers,Coordinates,,TeaParty,NorthCaucus,LongRoomClub,BostonCommittee,LoyalNine,LondonEnemies,StAndrewsLodge
0.09888077,1.119416278,Fenno.Samuel,        ,        ,        ,        ,        ,1,        
0.098918575,1.119428521,Foster.Bos,        ,        ,        ,        ,        ,1,        
0.098812772,1.119464351,Whitwell.William,        ,        ,        ,        ,        ,1,        
0.098656502,1.119791118,Hitchborn.Thomas,        ,        ,        ,        ,        ,1,        
0.038974862,2.28696255,Hooton.John,        ,        ,        ,        ,        ,1,1
0.038916643,2.292434704,Crane.John,        ,        ,        ,        ,        ,1,1
0.038803013,2.293715108,Barrett.Samuel,        ,        ,        ,        ,        ,1,1
0.327220774,5.155029828,Wingfield.William,        ,        ,        ,        ,        ,        ,1
0.327491048,5.156024399,Webster.Thomas,        ,        ,        ,        ,        ,        ,1
0.335163604,5.162493673,Davis.Robert,        ,        ,        ,        ,        ,        ,1
0.341309919,5.172367843,Potter.Edward,        ,        ,        ,        ,        ,        ,1
0.347617859,5.176155519,Moody.Samuel,        ,        ,        ,        ,        ,        ,1
0.347535598,5.17777229,Milliken.Thomas,        ,        ,        ,        ,        ,        ,1
0.350514123,5.1781796,Pulling.Richard,        ,        ,        ,        ,        ,        ,1
0.350348518,5.18149851,Burbeck.William,        ,        ,        ,        ,        ,        ,1
0.353442494,5.183121008,Stanbridge.Henry,        ,        ,        ,        ,        ,        ,1
0.35703423,5.18473815,Lee.Joseph,        ,        ,        ,        ,        ,        ,1
0.353776942,5.185579292,Webb.Joseph,        ,        ,        ,        ,        ,        ,1
0.36278393,5.190460517,Edes.Benjamin,        ,        ,        ,        ,        ,        ,1
0.362998428,5.190854794,Gould.William,        ,        ,        ,        ,        ,        ,1
0.363906257,5.192929423,Callendar.Elisha,        ,        ,        ,        ,        ,        ,1
0.361077267,5.194095456,Lowell.John,        ,        ,        ,        ,        ,        ,1
0.372774221,5.201827217,McAlpine.William,        ,        ,        ,        ,        ,        ,1
0.37294537,5.203216479,Sloper.Ambrose,        ,        ,        ,        ,        ,        ,1
0.375307046,5.203779487,Chipman.Seth,        ,        ,        ,        ,        ,        ,1
0.380880361,5.209328937,Ash.Gilbert,        ,        ,        ,        ,        ,        ,1
0.382703749,5.210413977,Graham.James,        ,        ,        ,        ,        ,        ,1
0.38523912,5.213574584,Bray.George,        ,        ,        ,        ,        ,        ,1
0.38473523,5.213925709,Marett.Phillip,        ,        ,        ,        ,        ,        ,1
0.38180073,5.214555579,Seward.James,        ,        ,        ,        ,        ,        ,1
0.390888285,5.216177081,Gammell.John,        ,        ,        ,        ,        ,        ,1
0.385804308,5.217670801,Whitten.John,        ,        ,        ,        ,        ,        ,1
0.392756223,5.218286881,Jarvis.Charles,        ,        ,        ,        ,        ,        ,1
0.393837016,5.220625464,Cailleteau.Edward,        ,        ,        ,        ,        ,        ,1
0.394460165,5.221512287,Obear.Israel,        ,        ,        ,        ,        ,        ,1
0.400515673,5.22415725,Burbeck.Edward,        ,        ,        ,        ,        ,        ,1
0.40021241,5.228353758,Frothingham.Nathaniel,        ,        ,        ,        ,        ,        ,1
0.396608257,5.228600864,Colesworthy.Gilbert,        ,        ,        ,        ,        ,        ,1
0.401768429,5.228768652,Brown.Hugh,        ,        ,        ,        ,        ,        ,1
0.405096708,5.234749837,Phillips.John,        ,        ,        ,        ,        ,        ,1
0.409980391,5.236357225,Hickling.William,        ,        ,        ,        ,        ,        ,1
0.411957588,5.2364299,Kerr.Walter,        ,        ,        ,        ,        ,        ,1
0.4142805,5.240386705,Marlton.John,        ,        ,        ,        ,        ,        ,1
0.417746939,5.242523844,Davis.Edward,        ,        ,        ,        ,        ,        ,1
0.418930529,5.244316502,Ham.William,        ,        ,        ,        ,        ,        ,1
0.423751918,5.24685193,Hoskins.William,        ,        ,        ,        ,        ,        ,1
0.423014995,5.24746503,Howard.Samuel,        ,        ,        ,        ,        ,        ,1
0.423855445,5.248183345,Nicholls.Unknown,        ,        ,        ,        ,        ,        ,1
0.422507644,5.249943245,Flagg.Josiah,        ,        ,        ,        ,        ,        ,1
0.429646128,5.25296114,Blake.Increase,        ,        ,        ,        ,        ,        ,1
0.43173616,5.254286045,Palfrey.William,        ,        ,        ,        ,        ,        ,1
0.445909961,5.265445526,Bell.William,        ,        ,        ,        ,        ,        ,1
0.469660132,5.283504386,Lewis.Phillip,        ,        ,        ,        ,        ,        ,1
0.481617807,5.295021172,Tabor.Philip,        ,        ,        ,        ,        ,        ,1
Multipliers,Coordinates,,TeaParty,NorthCaucus,LongRoomClub,BostonCommittee,LoyalNine,LondonEnemies,StAndrewsLodge
